"review","rating","sentiment","review_processed","document_no","Label","dominant_topic","topic_perc_contrib","keywords","Text"
"Pengiriman tidak tanggap, Memberikan tenggang waktu lama untuk pengiriman barang dr seller ke pelanggan! idiot!",1,0,kirim tanggap tenggang kirim barang seller langgan idiot,7,0,0,0.995,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['kirim', 'tanggap', 'tenggang', 'kirim', 'barang', 'seller', 'langgan', 'idiot']"
aplikasi belanja yg sangat murah dan responnya cepat,5,2,aplikasi belanja murah responnya cepat,882,0,0,0.994,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['aplikasi', 'belanja', 'murah', 'respon', 'cepat']"
"apknya ok banget,barangnya lengkap,harga lebih murah",5,2,apknya barang lengkap harga murah,922,0,0,0.994,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['aplikasi', 'barang', 'lengkap', 'harga', 'murah']"
kualitas bagus. harga terjangkau. pengiriman cepat,5,2,kualitas harga jangkau kirim cepat,931,0,0,0.994,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['kualitas', 'harga', 'jangkau', 'kirim', 'cepat']"
lebih di tingkatkan lg dalam Respon ke Semua toko tujuan,3,1,tingkat lg respon toko,542,3,0,0.9926,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['tingkat', 'lagi', 'respon', 'toko']"
semoga proses kiriman barangnya cepat,3,1,proses kirim barang cepat,555,0,0,0.9926,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['proses', 'kirim', 'barang', 'cepat']"
"Belanja mudah,murah dan dpt dipercaya...",3,1,belanja mudah murah percaya,571,0,0,0.9926,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['belanja', 'mudah', 'murah', 'percaya']"
Barang ori pengiriman cepat makasih,5,2,barang ori kirim cepat,806,0,0,0.9926,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['barang', 'asli', 'kirim', 'cepat']"
Transaksi belanja yg praktis dan murah,5,2,transaksi belanja praktis murah,816,0,0,0.9926,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['transaksi', 'belanja', 'praktis', 'murah']"
"Belanja cepat, hemat, aman..",5,2,belanja cepat hemat aman,823,0,0,0.9926,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['belanja', 'cepat', 'hemat', 'aman']"
"Selama ini pengalaman pengguna setia bukalapak, ok. Pokoknya slalu tingkatin kualitasnya ??",5,2,alam setia slalu tingkatin kualitas,873,0,0,0.9926,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['alam', 'setia', 'selalu', 'tingkatin', 'kualitas']"
Barang barangnya cuma sedikit. Harganya juga diatas rata rata,1,0,barang barang harga,149,0,0,0.9901,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['barang', 'barang', 'harga']"
Aku suka belanja di toko pedia tapi nggak dapet diskon,2,0,belanja toko diskon,359,0,0,0.9901,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['belanja', 'toko', 'diskon']"
Barang Bagus 100% ori Cuma pengirimannya aja yg kurang puas,3,1,barang ori kirim,567,0,0,0.9901,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['barang', 'asli', 'kirim']"
"bagus dan mudah, praktis juga transaksinya",3,1,mudah praktis transaksi,658,0,0,0.9901,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['mudah', 'praktis', 'transaksi']"
semoga toko pedia lebih maju lagi dan lebih baik dalam pelayanan,5,2,toko maju layan,804,3,0,0.9901,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['toko', 'maju', 'layan']"
"Puas belanja di lazada,kurirnya ramah�",5,2,belanja kurir ramah,810,0,0,0.9901,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['belanja', 'kurir', 'ramah']"
"Maju sukses terus buat Lazada, mudah2an semakin baik semuanya",5,2,maju sukses mudah,818,0,0,0.9901,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['maju', 'sukses', 'mudah']"
Bagus.. Harap di jaga dan di tingkat kan lagi,5,2,harap jaga tingkat,819,0,0,0.9901,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['harap', 'jaga', 'tingkat']"
Aplikasi berbelanja online yang bagus??,5,2,aplikasi belanja online,829,0,0,0.9901,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['aplikasi', 'belanja', 'online']"
Barang bagus pengiriman cepat,5,2,barang kirim cepat,832,0,0,0.9901,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['barang', 'kirim', 'cepat']"
Proses cepat barang mantap,5,2,proses cepat barang,833,0,0,0.9901,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['proses', 'cepat', 'barang']"
Aplikasi yg sangat2 memudahkan dalam berbelanja,5,2,aplikasi mudah belanja,834,0,0,0.9901,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['aplikasi', 'mudah', 'belanja']"
Suka berbelanka disni selain harga murce utk pelayan juga memuaskan,5,2,berbelanka disni harga murce utk layan,837,0,0,0.9901,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['berbelanka', 'disni', 'harga', 'murce', 'untuk', 'layan']"
Mudah dan lengkap belanja di tokopedia,5,2,mudah lengkap belanja,846,0,0,0.9901,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['mudah', 'lengkap', 'belanja']"
App nya sudah mantap..Makin banyakin lagi dong disc nya jd..??,5,2,app banyakin disc,852,0,0,0.9901,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['aplikasi', 'banyakin', 'disc']"
Aplikasi ringan tingkatkan terus,5,2,aplikasi ringan tingkat,906,0,0,0.9901,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['aplikasi', 'ringan', 'tingkat']"
proses cepat dalam hal setiap transaksi,5,2,proses cepat transaksi,909,0,0,0.9901,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['proses', 'cepat', 'transaksi']"
Mantap. Aplikasinya. Tingkatkan lagi keamanannya. Ya,5,2,aplikasi tingkat aman,932,0,0,0.9901,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['aplikasi', 'tingkat', 'aman']"
Terimakasih barang dikirim cepat,5,2,barang kirim cepat,933,0,0,0.9901,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['barang', 'kirim', 'cepat']"
kurir ramah pelayanan mantap terima kasih jd.id,5,2,kurir ramah layan,952,0,0,0.9901,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['kurir', 'ramah', 'layan']"
Apk belanja online yg bagus & keren...,4,2,apk belanja online,968,0,0,0.9901,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['aplikasi', 'belanja', 'online']"
Q suka belanja disini harganya terjangkau.,5,2,belanja harga jangkau,987,0,0,0.9901,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['belanja', 'harga', 'jangkau']"
cepat d kirim y,1,0,cepat kirim,116,0,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['cepat', 'kirim']"
Mudah aksesnya. Terima kasih Lazada.,2,0,mudah akses,333,0,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['mudah', 'akses']"
Aplikasi ribet banget,1,0,aplikasi ribet,373,0,0,0.9853,"belanja, mudah, cepat, barang, murah, online, aplikasi, kirim, harga, aman","['aplikasi', 'ribet']"
