review,rating,sentiment,review_processed,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
"Pembelian pakai cc ribet, di tolak terus sama penyedia layanan",2,0,beli pakai cc ribet tolak sedia layan,0,1.0,0.4651,"belanja, aplikasi, mudah, bantu, online, aman, rumah, percaya, shoope, butuh","['beli', 'pakai', 'cc', 'ribet', 'tolak', 'sedia', 'layan']"
"Kenapa saya tidak bisa verifikasi email saya?!!!, jadi kesel",1,0,verifikasi email kesel,1,4.0,0.4342,"bayar, aplikasi, pakai, akun, tolong, update, saldo, handphone, susah, shopeepay","['verifikasi', 'email', 'kesel']"
"TOP UP GAK MASUK E MONEY DIBILANG MASUK, MANAJEMEN BURUK SHOPEE",1,0,up money bilang manajemen,2,4.0,0.8212,"bayar, aplikasi, pakai, akun, tolong, update, saldo, handphone, susah, shopeepay","['up', 'money', 'bilang', 'manajemen']"
Iklan nya nyebelin anj,1,0,iklan nyebelin,3,0.0,0.4443,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['iklan', 'sebal']"
Anj..gw mau nonton ngapa kesini mulu,1,0,nonton ngapa kesini mulu,4,1.0,0.3872,"belanja, aplikasi, mudah, bantu, online, aman, rumah, percaya, shoope, butuh","['nonton', 'ngapa', 'kesini', 'melulu']"
"Saya pertama kali belanja sudah kena tipu penjual nakal. Jd id kurang selektif menyaring penjual, beda sama ol shop lain",1,0,belanja tipu jual nakal selektif nyaring jual beda ol shop,5,4.0,0.733,"bayar, aplikasi, pakai, akun, tolong, update, saldo, handphone, susah, shopeepay","['belanja', 'tipu', 'jual', 'nakal', 'selektif', 'nyaring', 'jual', 'beda', 'online', 'shop']"
"Tolong dibantu, knpa sertifikat saya smpai skrang belum juga masuk di dashboard, pdhal pihal binus sdh kasih email sertifikat saya selesai tgl 5 september, smpaj sekarang tgl 18 belum juga masuk di dashboard, pdhal sdh lebih dri 7x24 jam",1,0,tolong bantu knpa sertifikat smpai skrang dashboard pdhal pihal bus email sertifikat tgl september smpaj tgl dashboard pdhal jam,6,0.0,0.8487,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['tolong', 'bantu', 'kenapa', 'sertifikat', 'smpai', 'skrang', 'dashboard', 'pdhal', 'pihal', 'bus', 'email', 'sertifikat', 'tanggal', 'september', 'smpaj', 'tanggal', 'dashboard', 'pdhal', 'jam']"
"Pengiriman tidak tanggap, Memberikan tenggang waktu lama untuk pengiriman barang dr seller ke pelanggan! idiot!",1,0,kirim tanggap tenggang kirim barang seller langgan idiot,7,0.0,0.5925,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['kirim', 'tanggap', 'tenggang', 'kirim', 'barang', 'seller', 'langgan', 'idiot']"
Aplikasinya ngga kaya dulu. Ini ribet banget,1,0,aplikasi kaya ribet,8,0.0,0.5191,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['aplikasi', 'kaya', 'ribet']"
pusat bantuan nya gak ada fitur live cht. kecewa baru pertama beli di tokopedia barang lngsung bermasalah . nnaya apa di bles apa hadehhhh macetttt.. trimksih gak akan beli disini lgi kalau bermasalah terus,1,0,pusat bantu fitur live cht beli barang lngsung nnaya bles hadehhhh macetttt trimksih beli,9,0.0,0.3673,"barang, ongkir, kirim, gratis, aplikasi, murah, sesuai, pesan, cepat, beli","['pusat', 'bantu', 'fitur', 'live', 'cht', 'beli', 'barang', 'lngsung', 'nnaya', 'bles', 'hadehhhh', 'macetttt', 'trimksih', 'beli']"
