review,rating,sentiment,review_processed,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
"mantab deh bayar tagihan listrik melalui toko pedia, dapet diskon, trims tokopedia semoga seterusnya bisa dapet diskon, lumayan buat nambah2 uang belanja",5,2,bayar tagih listrik toko diskon tokopedia diskon uang belanja,0,3.0,0.8407,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['bayar', 'tagih', 'listrik', 'toko', 'diskon', 'aplikasi', 'diskon', 'uang', 'belanja']"
"Terimskasih y Lazada atas pelayanannya.. Sdah ke 3kali sy blanja online slalu berhasil tp ke 4kalinya Gagal kata lazada Maf pesnan anda tlh gagal. Y.Oke sy blang.. dn gliran sy batalin pesananku untuk ke 5kalinya eh malah jd ngk berfungsi Apliksi lazada di Hpku, yh sy copot pemasangnnya mungkin kadarluasa aplikasi yg satu ini pikirku. Lalu sy coba dowland balik eh malah jd makin parah Ennnnngak bisa terinstal lg...entah knpa y lazada,,,? Apa permasalahannya ..?",5,2,terimskasih lazada layan sdah blanja online slalu hasil gagal lazada maf pesnan tlh gagal blang dn gliran batalin pesan ngk fungsi apliksi lazada hpku yh copot pemasangnnya kadarluasa aplikasi pikir dowland ennnnngak terinstal lg knpa lazada,1,0.0,0.3927,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['terimskasih', 'aplikasi', 'layan', 'sdah', 'belanja', 'online', 'selalu', 'hasil', 'gagal', 'aplikasi', 'maf', 'pesnan', 'tlh', 'gagal', 'blang', 'dn', 'gliran', 'batal', 'pesan', 'ngk', 'fungsi', 'apliksi', 'aplikasi', 'hpku', 'yh', 'copot', 'pemasangnnya', 'kadarluasa', 'aplikasi', 'pikir', 'dowland', 'ennnnngak', 'terinstal', 'lagi', 'kenapa', 'aplikasi']"
Banyak pilihan brand top,5,2,pilih brand,2,2.0,0.9853,"barang, aplikasi, murah, harga, belanja, sesuai, toko, beli, jual, amanah","['pilih', 'brand']"
"Lewat Shopee semua jadi mudah dan hemat, terimakasih shopee",5,2,shopee mudah hemat shopee,3,1.0,0.6978,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['aplikasi', 'mudah', 'hemat', 'aplikasi']"
"Aplikasi yang sangat bagus, membatu banyak orang. Dapat dipercaya. Mendahulukan kepercayaan konsumen. Semoga Bukalapak semakin jaya. Kok sekarang jadi bingung, mau serah terima barang, menyelesaikan pesanan susah, cari menunya kagak ketemuu.",5,2,aplikasi batu percaya percaya konsumen bukalapak jaya bingung serah barang pesan susah cari menu ketemuu,4,1.0,0.3428,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['aplikasi', 'batu', 'percaya', 'percaya', 'konsumen', 'aplikasi', 'jaya', 'bingung', 'serah', 'barang', 'pesan', 'susah', 'cari', 'menu', 'ketemuu']"
G pernah ada keluhan... CS pun kasih arahan klo ada yg g ngerti,5,2,keluh cs arah ngerti,5,3.0,0.745,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['keluh', 'customer service', 'arah', 'mengerti']"
Bagus bisa bayar ditempat jadi aman,5,2,bayar aman,6,1.0,0.4951,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['bayar', 'aman']"
barang di jamin ori 1000%,5,2,barang jamin ori,7,2.0,0.9901,"barang, aplikasi, murah, harga, belanja, sesuai, toko, beli, jual, amanah","['barang', 'jamin', 'asli']"
"Pelayanan cepat, responsif, ramah, banyakin promo ya... Terutama FREE ONGKIR..",5,2,layan cepat responsif ramah banyakin promo utama free ongkir,8,3.0,0.9967,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['layan', 'cepat', 'responsif', 'ramah', 'banyakin', 'promo', 'utama', 'free', 'ongkir']"
"Promo dan produk yang ditawarkan sampaai saat ini masih terjaga,ya meskipun ada trouble kecil",5,2,promo produk tawar sampaai jaga trouble,9,2.0,0.7956,"barang, aplikasi, murah, harga, belanja, sesuai, toko, beli, jual, amanah","['promo', 'produk', 'tawar', 'sampaai', 'jaga', 'trouble']"
